,코드,제목,개봉일자,관객수,매출액,상영횟수,스크린수
0,20110659,트랜스포머 3,2011-06-29,7749860,74534807500,123540,28029
1,20110302,최종병기 활,2011-08-10,7436543,55613006000,129083,28348
2,20110193,써니,2011-05-04,7305722,53619749600,147862,32679
3,20112695,완득이,2011-10-20,5299010,38459445000,117596,24109
4,20110511,쿵푸팬더 2,2011-05-26,5056833,44264044500,101017,21211
5,20112207,미션임파서블:고스트프로토콜,2011-12-15,4975161,37765048000,61249,12804
6,20102414,조선명탐정 : 각시투구꽃의 비밀,2011-01-27,4767635,35713044500,83536,18188
7,20112534,도가니,2011-09-22,4645291,35442335300,87308,19464
8,20111009,해리포터와 죽음의 성물2,2011-07-13,4338923,34045755500,69217,14181
9,20112173,리얼 스틸,2011-10-12,3570568,26501123500,87016,20545
