,year,title,director_names,nations,genres,rate,영화제
254,1959,더 그레이트 워,마리오 모니셀리,"이탈리아, 프랑스","전쟁, 드라마, 코미디",3.1 (72명),베니스
255,1958,지지,빈센트 미넬리,미국,로맨틱코미디,"2.7 (1,173명)",아카데미
256,1958,무호마츠의 일생,이나가키 히로시,일본,,3.1 (122명),베니스
257,1957,학이 난다,미하일 칼라토조프,소련,"전쟁, 드라마, 로맨스",3.6 (562명),칸
258,1957,콰이강의 다리,데이비드 린,"영국, 미국","전쟁, 드라마",3.7 (1만명),아카데미
259,1957,산딸기,잉마르 베리만,스웨덴,드라마,"3.9 (2,466명)",베를린
260,1957,12명의 성난 사람들,시드니 루멧,미국,"범죄, 드라마",4.2 (5만명),베를린
261,1956,우정어린 설득,윌리엄 와일러,미국,"전쟁, 로맨스, 드라마",3.3 (185명),칸
262,1956,침묵의 세계,"루이 말, 자크-이브 쿠스토","이탈리아, 프랑스",다큐멘터리,3.6 (133명),칸
263,1956,80일간의 세계일주,마이클 앤더슨,미국,"코미디, 모험","3.4 (9,088명)",아카데미
264,1956,인버테이션 투 더 댄스,진 켈리,미국,"액션, 드라마, 스릴러",3.4 (11명),베를린
265,1956,아푸 제2부 - 아파라지토,사티야지트 레이,인도,드라마,3.7 (336명),베니스
266,1955,마티,델버트 맨,미국,"로맨틱코미디, 드라마","3.0 (1,223명)",칸
267,1955,마티,델버트 맨,미국,"로맨틱코미디, 드라마","3.0 (1,223명)",아카데미
268,1955,더 랫츠,로버트 시오드맥,독일,드라마, ,베를린
269,1954,워터프론트,엘리아 카잔,미국,"드라마, 범죄, 로맨스","3.6 (2,854명)",아카데미
270,1954,홉슨의 사위 고르기,데이비드 린,영국,"로맨틱코미디, 드라마",3.7 (27명),베를린
271,1954,오데트,칼 테오도르 드레이어,덴마크,드라마,4.0 (788명),베니스
272,1954,로미오와 줄리엣,,"이탈리아, 영국",로맨스,"3.7 (2,889명)",베니스
273,1953,지상에서 영원으로,프레드 진네만,미국,"로맨스, 전쟁, 드라마","3.6 (2,658명)",아카데미
274,1953,공포의 보수,앙리 조르주 클루조,"프랑스, 이탈리아","스릴러, 드라마, 모험","3.8 (1,257명)",베를린
275,1952,지상 최대의 쇼,세실 B. 데밀,미국,"로맨스, 드라마","2.7 (1,046명)",아카데미
276,1952,금지된 장난,르네 클레망,프랑스,"드라마, 전쟁","3.8 (3,618명)",베니스
277,1951,파리의 아메리카인,빈센트 미넬리,미국,"드라마, 로맨스","3.4 (2,687명)",아카데미
278,1951,원 섬머 오브 해피니스,아른 매트슨,스웨덴,"로맨스, 드라마", ,베를린
279,1951,위드아웃 리빙 언 어드레스 ,장 폴 르 샤누아,프랑스,"드라마, 코미디", ,베를린
280,1951,포 인 어 지프,"레오폴드 린트버그, 엘리자베스 몬타그",스위스,드라마, ,베를린
281,1950,이브의 모든 것,조셉 L. 맨키위즈,미국,드라마,"3.7 (3,150명)",아카데미
282,1950,신데렐라,"윌프레드 잭슨, 해밀턴 러스크, 클라이드 제로니미",미국,"애니메이션, 판타지, 로맨스, 드라마",3.7 (8만명),베를린
283,1950,재판은 끝났다,안드레 카야트,프랑스,드라마,3.8 (2명),베를린
284,1950,인 비버 밸리,제임스 알가,미국,"가족, 다큐멘터리", ,베를린
285,1950,라쇼몽,구로사와 아키라,일본,"범죄, 드라마, 미스터리",3.8 (3만명),베니스
286,1950,재판은 끝났다,안드레 카야트,프랑스,드라마,3.8 (2명),베니스
287,1949,모두가 왕의 부하들,로버트 로즌,미국,"범죄, 액션, 드라마","2.6 (1,126명)",아카데미
288,1949,마농,앙리 조르주 클루조,프랑스,,3.4 (139명),베니스
289,1948,햄릿,로렌스 올리비에,영국,드라마,3.6 (982명),아카데미
290,1948,햄릿,로렌스 올리비에,영국,드라마,3.6 (982명),베니스
291,1947,신사협정,엘리아 카잔,미국,"로맨스, 드라마","2.8 (1,224명)",아카데미
292,1947,더 스트라이크,카렐 스테클리,체코(구 체코슬로바키아),드라마, ,베니스
293,1946,우리 생애 최고의 해,윌리엄 와일러,미국,"로맨스, 드라마","3.4 (1,381명)",아카데미
294,1945,잃어버린 주말,빌리 와일더,미국,"범죄, 액션, 드라마",3.5 (545명),아카데미
295,1945,남쪽 사람,장 르누아르,미국,드라마,3.7 (38명),베니스
296,1944,나의 길을 가련다,레오 맥캐리,미국,"드라마, 코미디",3.2 (266명),아카데미
297,1942,카사블랑카,마이클 커티즈,미국,"전쟁, 로맨스, 드라마",3.8 (2만명),아카데미
298,1942,미니버 부인,윌리엄 와일러,미국,"로맨스, 전쟁, 드라마",3.3 (255명),아카데미
299,1941,나의 계곡은 푸르렀다,존 포드,미국,"로맨스, 드라마",3.9 (866명),아카데미
300,1940,레베카,알프레드 히치콕,미국,"드라마, 미스터리, 로맨스, 스릴러",3.9 (1만명),아카데미
301,1939,바람과 함께 사라지다,빅터 플레밍,미국,"전쟁, 로맨스, 시대극, 드라마, 코미디, 역사",4.0 (13만명),아카데미
302,1938,우리들의 낙원,프랑크 카프라,미국,로맨틱코미디,3.5 (314명),아카데미
303,1937,에밀 졸라의 생애,윌리엄 디터리,미국,드라마,3.3 (290명),아카데미
304,1936,위대한 지그펠드,로버트 Z. 레너드,미국,드라마,3.0 (176명),아카데미
305,1935,바운티호의 반란,프랭크 로이드,미국,"모험, 드라마, 역사, 로맨스",3.3 (403명),아카데미
306,1934,어느날 밤에 생긴 일,프랑크 카프라,미국,로맨틱코미디,"3.7 (3,898명)",아카데미
307,1933,캐벌케이드,프랭크 로이드,미국,드라마,2.9 (126명),아카데미
308,1932,그랜드 호텔,에드먼드 굴딩,미국,"로맨스, 드라마",3.5 (508명),아카데미
309,1931,시마론,웨슬리 러글스,미국,드라마,2.9 (202명),아카데미
310,1930,서부 전선 이상 없다,루이스 마일스톤,미국,"전쟁, 드라마","3.7 (2,910명)",아카데미
311,1929,브로드웨이 멜로디,해리 부몽,미국,,3.0 (200명),아카데미
312,1927,날개,윌리엄 A. 웰먼,미국,전쟁,3.2 (277명),아카데미
