,코드,제목,개봉일자,관객수,매출액,상영횟수,스크린수
0,20148048,베테랑,2015-08-05,13394663,105027419150,198577,43628
1,20148851,암살,2015-07-22,12680841,98276700081,174778,42640
2,20148493,어벤져스: 에이지 오브 울트론,2015-04-23,10480622,88466988466,190931,40544
3,20137048,국제시장,2014-12-17,8865243,69501839734,146661,37090
4,20149314,내부자들,2015-11-19,7040248,56341770757,152088,34341
5,20148846,사도,2015-09-16,6229469,48721011601,123626,26878
6,20140110,킹스맨 : 시크릿 에이전트,2015-02-11,6119565,50289664295,139695,34970
7,20157881,미션 임파서블: 로그네이션,2015-07-30,6101830,48345964007,88562,20851
8,20134798,연평해전,2015-06-24,6029384,45475270930,114178,26440
9,20098169,쥬라기 월드,2015-06-11,5542929,47772255326,118697,25999
