,코드,제목,개봉일자,관객수,매출액,상영횟수,스크린수
0,20127593,7번방의 선물,2013-01-23,12791502,91321831670,165918,37388
1,20126674,설국열차,2013-08-01,9324005,66830863000,122716,26816
2,20126091,관상,2013-09-11,9111735,65849963000,124382,28284
3,20121621,아이언맨 3,2013-04-25,8981870,70659559500,163017,33746
4,20124083,베를린,2013-01-30,7147942,52225237637,110687,24064
5,20126672,은밀하게 위대하게,2013-06-05,6945786,48608590913,117139,24954
6,20134803,변호인,2013-12-18,5671236,40846586000,54933,11912
7,20136049,숨바꼭질,2013-08-14,5574255,39389999000,87102,16798
8,20136052,더 테러 라이브,2013-07-31,5571831,39782422317,92842,18788
9,20122783,감시자들,2013-07-03,5501802,39337319179,100237,20733
