,Unnamed: 0,제목,연도,장르,제작국가,왓챠평점
9,9,범죄도시,2017,범죄,['한국'],평균 ★3.9 (50만명)
0,0,신과함께-인과 연,2018,드라마,['한국'],평균 ★3.6 (28만명)
1,1,어벤져스: 인피니티 워,2018,액션,['미국'],평균 ★4.0 (22만명)
2,2,보헤미안 랩소디,2018,드라마,"['미국', '영국']",평균 ★3.9 (20만명)
3,3,미션 임파서블: 폴아웃,2018,액션,['미국'],평균 ★3.7 (11만명)
4,4,신과함께-죄와 벌,2018,판타지,['한국'],평균 ★3.8 (89만명)
5,5,쥬라기 월드: 폴른 킹덤,2018,SF,"['스페인', '미국']",평균 ★3.2 (7만명)
6,6,앤트맨과 와스프,2018,SF,"['미국', '영국']",평균 ★3.6 (16만명)
7,7,안시성,2018,시대극,['한국'],평균 ★3.1 (10만명)
8,8,블랙 팬서,2018,액션,['미국'],평균 ★3.5 (21만명)
9,9,완벽한 타인,2018,코미디,['한국'],평균 ★3.8 (41만명)
0,0,극한직업,2019,코미디,['한국'],평균 ★4.1 (62만명)
1,1,어벤져스: 엔드게임,2019,액션,['미국'],평균 ★4.2 (17만명)
2,2,겨울왕국 2,2019,애니메이션,['미국'],평균 ★3.7 (12만명)
3,3,알라딘,2019,모험,['미국'],평균 ★3.9 (17만명)
4,4,기생충,2019,드라마,['한국'],평균 ★4.3 (54만명)
5,5,엑시트,2019,코미디,['한국'],평균 ★3.9 (40만명)
6,6,스파이더맨: 파 프롬 홈,2019,액션,['미국'],평균 ★3.6 (13만명)
7,7,백두산,2019,드라마,['한국'],평균 ★2.9 (5만명)
8,8,캡틴 마블,2019,액션,['미국'],평균 ★3.5 (13만명)
9,9,조커,2019,스릴러,['미국'],평균 ★3.9 (14만명)
0,0,남산의 부장들,2020,드라마,['한국'],평균 ★3.5 (6만명)
1,1,다만 악에서 구하소서,2020,범죄,['한국'],평균 ★3.0 (4만명)
2,2,반도,2020,액션,['한국'],평균 ★2.9 (10만명)
3,3,히트맨,2020,코미디,['한국'],평균 ★2.9 (3만명)
4,4,테넷,2020,액션,"['영국', '미국']",평균 ★3.8 (6만명)
5,5,백두산,2020,드라마,['한국'],평균 ★2.9 (5만명)
6,6,#살아있다,2020,드라마,['한국'],평균 ★2.1 (4만명)
7,7,강철비2: 정상회담,2020,드라마,['한국'],평균 ★2.7 (2만명)
8,8,담보,2020,드라마,['한국'],"평균 ★2.7 (7,119명)"
9,9,닥터 두리틀,2020,모험,['미국'],평균 ★2.8 (2만명)
