,코드,제목,개봉일자,관객수,매출액,상영횟수,스크린수
0,20156564,부산행,2016-07-20,11545582,93016914348,150364,35646
1,20145507,검사외전,2016-02-03,9637945,76792567364,150571,32814
2,20159364,캡틴 아메리카: 시빌 워,2016-04-27,8659536,72524648027,161107,36600
3,20159646,밀정,2016-09-07,7468963,61019395031,136300,32153
4,20154910,터널,2016-08-10,7095125,57317888117,112018,26176
5,20156250,인천상륙작전,2016-07-27,7041005,55044541503,96575,24650
6,20153444,럭키,2016-10-13,6965010,56366525556,155387,34001
7,20140194,곡성,2016-05-12,6850063,55619482282,129113,34656
8,20150979,덕혜옹주,2016-08-03,5563041,44105396009,95360,24766
9,20163181,닥터 스트레인지,2016-10-26,5441157,47437201396,162675,33385
