,제목,네티즌평점,평론가평점,네티즌리뷰,평론가리뷰
0,명량,8.44,6.29,"['오늘 명량 시사회로 방금 보고 왔음. 단연코 올해의 수작임. 밑에 평론가들 캐릭터 어쩌고 하는데 류승룡 캐릭터 더 살리면 일본장수 미화한다며 입털게 분명. 평론가들 하는 짓이라곤 남이 차린 밥상 맛있네 맛없네 까대며...', '이순신, 그는 신이다.', '군도보다 훨씬 잼있음..극장가서 꼭 보세요', '29일 시사회로 봤어요냉정하게이건 꼭 봐야해..굿', '오늘 아침에 조조로 보고왔습니다. 8월4일에 해군에 입대하는데. 그전에 보기 잘한 영화같습니다. 평소에 영화 많이 좋아하고 자주보는 편인데. 무지 재미있게 봤습니다. 나라 잘지키고 오겠습니다 필승', '정말 재미있네요 잘보고 왔습니다 시사회', '극찬할 수는 없지만 이 정도면 내용, 영상, 연출 전부 꽤나 뛰어난 작품이지 않은가? 평론가들의 평점 6점은 도대체 어떻게 해서 나온 점수인지... 블랙펄 같은 배가 나오고 판옥선이 거북선으로 트랜스포머하는 장면이 ...', '국가에 버림을 받아도 의리로 지키려는 충신. 피를 흘리면서 싸우는 군인들의 투지. 두려움을 넘어선 백성들의 의지. 소중한 가족들을 잃은 민족의 한... 슬픈 명작이었습니다....', '보는 내내 가슴찡하고 울컥하는 진짜 최고의 영화ㅠㅠ한 순간도 놓칠 수 없는 해전씬이 특히 압권!!', '작금의 이시점에 국가가 혼란하고 위태할수록국가를 직간접으로 책임지고 있는 리더에게 무엇이 필요한지 리더의 마음이 한치의 흔들림없이 무엇을 향하고 있어야 하는지를 세치의 혀가 아닌 온몸으로 400년전 구국의영웅이 20...']","['김형석영화 저널리스트\n해상 최대의 작전\n별점 - 총 10점 중\n7\n스토리\n7\n비주얼\n8\n연출\n6\n연기\n7\n캐릭터에 대한 깊이 있는 고찰이나 당대에 대한 역사의식이나 고증의 완벽함에 대한 기대는 접어두자. 한 시간 동안 펼쳐지는 해상 전투 신의 스펙터클 액션으로 모든 걸 퉁친다.', ""백은하영화 저널리스트\n외로운 '충무로' 이순신, 최민식\n별점 - 총 10점 중\n6.75\n스토리\n6\n비주얼\n7\n연출\n7\n연기\n7\n수식 없는 묵직한 정공법으로 끝까지 밀어붙인다. 비장하고 진지하고 숙연하다. 해전 신의 놀라운 밀도에 비해 이순신을 제외한 캐릭터들의 아쉬운 배치와 활용은 극의 밀도를 떨어뜨린다.""]"
1,겨울왕국,8.7,6.75,"['올라프의 1편요약이 기가맥힙니다', '크리스토퍼 뮤비에서 좀 흠칫함', '미래가 보이지 않을 때는 지금 해야할 일을 해야 해', '나는 개인적으로 2편이 더 좋았음. 더 깊어진 스토리에 아름다워진 영상미. 한번 더 볼 의향 있음.', '엘사옷 보고 어머니들 긴장하는 영화', '애기들 울고 떠들고 하는거 보고 엘사 마법으로 얼릴뻔 했네요', '크리스토퍼 혹시 과거에 뮤비찍어본적 있니?왜 이렇게 잘해??...순간 당황했잖아', '백마탄 엘사님 Show yourself 장면 진짜 개오집니다 단언컨데 제2의 렛잇고는 into the unknown 아니고 Show yourself 입니다', '엘사 물 속에서 말타고 나올 때 대박ㅋㅋㅋㅋ', '겨울왕국 역시는 역시였다. OST도 1편만큼이나 중독성있다고 생각함ㅋㅋㅋ1편만큼 존잼임']","['심규한<씨네플레이> 기자\n방향도 결과도 모두 옳은 완벽한 귀환\n별점 - 총 10점 중\n8\n성장과 통찰, 반성과 화해. 방향도 결과도 모두 옳은 완벽한 귀환이다. 엘사가 지닌 마법의 근원을 찾아 떠난 모험은 자연에 대한 경외, 다양성에 대한 존중은 물론이고 과거 서구 중심 세계관의 반성까지 훌륭하게 담아낸다. 동화적 환상을 포기하지 않으면서도, 진보적 메시지를 자연스레 담은 스토리도 돋보인다. ‘렛 잇 고’처럼 폭발적인 순간은 아니더라고 관객의 감정을 고조시키는 유려한 음악들은 이번에도 힘이 세다.', ""이은선영화 저널리스트\n두려움을 딛고 진정한 ‘나'를 찾아서\n별점 - 총 10점 중\n6\n그 자체로 완결성이 뛰어났던 전편에 걸맞은 속편 제작이 가능할까. 다행히 <겨울왕국 2>는 사족이 아닌 의미 있는 둘째다. 음악 구성과 스토리텔링이 한층 복잡해지고, 클라이맥스로 가는 전개가 늘어지는 것은 눈에 띄는 약점. 다만 서로에 대한 사랑으로 두려움을 이기고, 낯선 세계에 뛰어드는 엘사와 안나의 모험담은 여전히 가슴을 뛰게 하는 구석이 있다. 디즈니 애니메이션의 기술적 진보를 목격하게 하는 압도적인 장면 구성, 스스로의 진정한 모습 그대로를 인정하고 받아들일 때 가장 강해질 수 있음을 말하는 메시지도 좋다."", '정시우영화 저널리스트\n왕관의 무게를 견뎌낸 속편\n별점 - 총 10점 중\n7\n상대적 평가에선 1편에 미치지 못할 수 있지만, 그 자체로 놓고 보면 충분히 빼어난 오락 영화다. 전편이 그랬듯 엘사와 안나는 왕자의 키스나 구원에 의존하지 않고 자신의 힘으로 행복을 쟁취하며 ‘디즈니 프린세스 프랜차이즈’ 주체성 평균치를 끌어올렸다. 업그레이드된 기술적 완성도와 울라프의 존재감이 인상적이다. 엘사가 파도를 이용해 서핑하는 수중 액션 장면은 그야말로 장관. 귀여움과 개그에 이어 감동까지 능숙하게 담당해내는 울라프의 매력은 군계일학이다. 성인 관객이라면 굿즈를 사 달라는 아이들로부터 지갑을 잘 사수하시길.', '정유미 <더 스크린> 에디터\n현실과 통하는 디즈니의 마법\n별점 - 총 10점 중\n8\n5년 동안 올랐던 디즈니 프린세스 영화의 왕좌를 다시 지켜낸다. 엘사와 안나의 새로운 헤어스타일과 의상, 물량 공세에 가까운 뮤지컬 음악으로 눈과 귀를 현혹한다. 물론 이것은 팬들을 위한 즐거운 서비스다. 2편의 큰 그림은 여성 서사의 완벽한 재건이다. 직접 말을 타고 내달리는 엘사 여왕이 있으니 더 이상 백마 탄 왕자가 필요 없다. 과거를 바로잡고 진실과 마주하는 안나 공주의 성장은 변화를 외치는 디즈니의 선언을 공고히 다진다. 올라프와 크리스토프-스벤 콤비는 잔재미를 챙기고 물과 얼음을 쥐락펴락하는 영상 기술력은 경이롭기까지 하다. 우리말 녹음 버전도 노래와 연기의 완성도, 나름의 매력이 출중하니 오리지널 버전과 함께 보기를 추천한다.']"
2,인터스텔라,9.1,7.9,"['인셉션은 대단하다 느꼈는데, 인터스텔라는 경이롭다고 느껴진다.', '결론만 말하자면 대박이다 더이상 어떤단어로 칭찬해야하는지도모르겠다.약 3시간의 긴러닝타임이지만 시간가는줄도 모르고봤고 모든상황이 다 연결되어있는 아주 짜임새있는 영화다.내가 살면서 이런명작을 몇번을 더 볼수있을지 ...', '전율과 환희의 169분이였다. 그 어떤 영화도 시도한 적 없는 명석함과 감동이 담겨 있었다. 이 영화를 만들어낸 놀란의 야심과 능력이 존경스럽다', '다크나이트 라이즈에 6점을 줬던 박평식이 7점을 줬다.', '이 영화가 명량이나 도둑들보다 관객수가 적다면 진짜 부끄러울듯', '팝콘, 콜라 사가지 마라.. 먹을시간 없다', '안보면 죽을지도 모릅니다... 꼭 봐야합니다...', '무슨 말이 필요한가 ...나중에 커서 아들낳으면 아빠는 인터스텔라 영화관에서 봤어 라고 자랑할생각하니 기쁘다..ㅎ', '여친이 옆에서 자고 일어나더니, 평점 7점짜리 영화라네요. 잠깐 헤어질까 생각했습니다.', '우주인 인성검사의 중요성을 절실히 느낌']","['이은선<매거진 M> 기자\n경이롭고 따뜻한 놀란의 우주\n별점 - 총 10점 중\n9.5\n스토리\n9\n비주얼\n10\n연출\n9\n연기\n10\n타당한 이론을 바탕으로 그 어떤 SF도 닿지 못했던 지점에 도달한다. 거대하고 집요한 그림 안에서 미시적으로 인간과 감정을 들여다보는, 시공간의 모든 차원을 뛰어넘는 영화적 경험.', ""송경원<씨네 21> 기자\n어쨌든, 압도한다.\n별점 - 총 10점 중\n8.5\n스토리\n8\n비주얼\n10\n연출\n8\n연기\n8\n뼈대는 가족영화, 원초적인 간절함을 자극한다. 살갗은 [2001 스페이스 오디세이], 이미 상상된 거의 모든 것을 시각화한다. 신파조차 장대한 우주적 체험 안에 녹여내는 '놀란'식 비주얼쇼크.""]"
3,수상한 그녀,9.01,5.86,"['첨엔 계속 웃다가 막판엔 울다 나왔네 ㅠㅠ 완전 강추!', '심은경의 매력을 느낄수잇는영화~~', '마지막에 여자환호성 듣는영화 입니다 ㅋㅋ', '스토리는 2% 아쉬운감이 없지않아있는데, 배우들의 연기가 정말 좋습니다! 가족끼리 함께보기 좋은영화 :)', '마지막 장면을 잊을 수 없다', '심은경을 위한 영화. 정말 심은경을 위해 만들어진 역할이라고 해야하나. 노래실력이며 개그감 넘치는 연기력 모두 최고였다. 무엇보다 최고는, 마지막 장면의 반전!!', '심은경 최고. 왜 이렇게 웃기냐...연기 넘 잘 한다. 기분 좋은 영화!', '평점8점대가뭐냐 9점이상짜리다', '웃음과감동,두마리의토끼를다잡은가족영화', '정말 오랜만에 극장에서 육성으로 현실웃음 터졌었어요!!완전 꿀잼!!!']","['이화정<씨네21> 기자\n웃음과 눈물의 적정 배합\n별점 - 총 10점 중\n7.25\n스토리\n7\n비주얼\n7\n연출\n7\n연기\n8\n어려운 시절, 자식에게 희생한 어머니들을 위한 힐링프로젝트. 보수적 가치관에 기초하지만 과장되지 않은 웃음과 눈물의 배합이 주는 울림이 크다. 심은경의 절대적 매력이 빛을 발함.', '이은선<매거진 M> 기자\n딱 2% 아쉬운 가족 코미디\n별점 - 총 10점 중\n6.25\n스토리\n5\n비주얼\n6\n연출\n6\n연기\n8\n무난한 웃음과 감동. 그러나 무엇도 탁월하진 않다. 젊음을 되찾은 노인의 욕망이 가족애라는 결론으로 급히 봉합되는 인상을 남긴다. 맛깔 나는 연기만으로 극 전체가 탄탄해지진 않는다.', '이형석<헤럴드경제> 기자\n응답하라 엄마의 청춘\n별점 - 총 10점 중\n7\n스토리\n7\n비주얼\n7\n연출\n7\n연기\n7\n자식 세대를 위해 헌신했던 어머니에게 보내는 송가이자 헌사. 무엇보다 20대 외모의 70대 노파 연기를 천연덕스럽게 해내는 심은경의 연기가 놀랍다. 노래는 보너스.', '백은하영화 저널리스트\n안일한 영화, 부지런한 심은경\n별점 - 총 10점 중\n6.25\n스토리\n5\n비주얼\n6\n연출\n5\n연기\n9\n순도 높은 집중력으로 대중영화를 끌고 나가는 심은경의 독주. 무리한 판타지를 안착시키는 노련함과 마침내 관객을 설득하는 진심의 눈물. 수상할 구석 없는 어린 명장의 탄생.']"
4,해적: 바다로 간 산적,8.28,5.97,"['방금 조조로 봤습니다. 사실 10점까지는 아닌데 그렇다고 지금처럼 7점까지 낮은 영화는 아닌것 같음. 기대도 안했는데 난무하는 욕 없이도 웃긴 한국영화는 진짜 오랜만인듯 싶네요 ㅋㅋ', '진짜 한 바탕 웃고 나오면 되는 영화유해진씨 연기는 정말 최고!', '시원하게 웃을 수 있는 여름 영화로 딱임~!', '개봉전 부터 너무 기대되는 영화 였는대 기대를 져버리지 않네요 진짜짱', '김남길 눈빛이 살아있군', '해적 고맙다.웃게 해줘서요즘 너무 우울했는데 시원한 바다도 화려한 액션도 웃음까지 일단 일부러 극장간 보람은 있었다', '이정도일줄 몰랐슴 이거 대박!!! 흥해라 해적!!!', 'cg 까러 갔다가 진짜 까봐야 안다는 걸 느끼고 옴', '유해진연기는 명품값이다', '개그되는 김남길 ㅋㅋ 웃다가 끝남']","['이화정<씨네21> 기자\n퓨전사극의 활용편\n별점 - 총 10점 중\n7\n스토리\n7\n비주얼\n7\n연출\n7\n연기\n7\n사공이 많으면 산으로 간다? [해적]은 아예 그 복작거림을 활용한다. 떼거리 캐릭터들이 산이고 바다고 다 간다. 국새 찾아 떠난 일종의 런닝맨. 유해진 특유의 유머코드는 명불허전.', ""이지혜<맥스무비> 기자\n코미디로 무장한 고래 사냥\n별점 - 총 10점 중\n6.75\n스토리\n7\n비주얼\n7\n연출\n6\n연기\n7\n'여름 빅 4' 가운데 가장 밝다. 온 가족이 함께 보기에도 걸릴 것 없다는 점 또한 매력 포인트. 초반 다소 미흡한 CG나 이야기의 구멍을 감안하고도 즐겁게 볼 수 있는 유쾌한 영화.""]"
5,변호인,9,7.43,"['계란으로 바위치기. 바위는 죽은것이지만 계란은 살아서 바위를 넘는다.', '아직도안녕하지못한우리들의이야기', '2013년 다른 생각을 가지면..종북주의자로 몰아가는 지금이 그때와 무엇이 다른지 모르겠습니다. 잘한점도 못한점도 있겠지요. 그러나 민주주의의 후퇴는 있어서는 안된다고 저는 믿고 있는데...많은 사람들이 보았으면 합...', '민주주의란 지금도 되돌아봐야한다', '‘송변’ 집 천장에 숨어 살던 쥐새끼가 혐오스럽다. 평점테러하는 일베충이도.', '일본에 전쟁을 미화하는 극우세력이있다면 대한민국에는 독제를미화하는 일베충이있다.', '정말 대단하고 존경합니다', '평점을 보니 대한민국 사회가 얼마나 병들었는지 알게되어 안타깝기 그지없네요. 이런데에 평점남기는 사람들은 그래도 젊은층에 속할텐데 말이죠..', '엄마랑 함께 관람했습니다 올해 최고의 영화! 꼭 시간 내셔서 보시길 바래요 절대 후회없으실 거에요 변호인 화이팅!', '영화 보지도 않고 별점테러 하는 인간들 괘씸해서라도 별점 5개 드립니다 이 영화는 정치적인 영화가 아니라 한 인물의 인생 그리고 당연한걸 부정당하던 시대에 대한 이야기 입니다. 꼭 한번 보시길 추천합니다.']","[""백은하영화 저널리스트\n안녕들 하십니까\n별점 - 총 10점 중\n7.5\n스토리\n7\n비주얼\n7\n연출\n7\n연기\n9\n송강호라는 강력한 영매를 찾은 영화는 망자의 그림자를 애달프게 호령하는 대신 박력있는 실체로 부활시켜 그의 선택을 치열하게 기록한다. '신들린' 연기가 아니라 '인간이 깃든' 연기."", '이형석<헤럴드경제> 기자\n상식의 법정으로 불려온 야만의 시대\n별점 - 총 10점 중\n7.5\n스토리\n7\n비주얼\n7\n연출\n7\n연기\n9\n[남영동 1985]의 야만의 시대가 [부러진 화살]의 상식의 법정으로 불려와 매끈하고 감동적인 성장담이자 영웅담, 휴먼드라마로 재탄생했다. 답답한 시국은 스크린 바깥의 흥행원동력.', '이지혜<맥스무비> 기자\n지금 이곳의 이야기\n별점 - 총 10점 중\n7.75\n스토리\n8\n비주얼\n7\n연출\n7\n연기\n9\n이것은 과거의 이야기일 뿐이라고? 간첩도 만들어낼 만큼 상식이 없었던 시대와 지금이 다르다고 말할 수 있나? 여전히 뜨거운 국가와 국민의 이야기는 현재진행형의 울림을 가진다.', '이은선<매거진 M> 기자\n피를 끓게 하는 뜨거운 드라마\n별점 - 총 10점 중\n7.75\n스토리\n7\n비주얼\n7\n연출\n8\n연기\n9\n상식이 통하지 않는 시절의 한 가운데에서 외치는 기본과 상식, 선동 없이도 감정을 쥐락펴락하는 연출, 화면 밖으로 뛰쳐나올 듯한 송강호의 뜨겁고도 경이로운 연기라는 놀라운 삼박자.', '김형석영화 저널리스트\n상식이 가슴을 울린다\n별점 - 총 10점 중\n8.25\n스토리\n8\n비주얼\n7\n연출\n8\n연기\n10\n송강호가 ""대한민국의 주권은 국민에게 있고, 모든 권력은 국민으로부터 나온다""는 헌법 제1조 2항을 외칠 때, 이 영화는 과거가 아닌 현재가 된다. 잊지 마라. 당신이 주인이다.', '이화정<씨네21> 기자\n휴먼드라마의 좋은 예\n별점 - 총 10점 중\n7.75\n스토리\n7\n비주얼\n8\n연출\n7\n연기\n9\n실존인물의 논란을 논외로, 웃다가 울게하는 대중적 휴먼드라마의 구조를 띈다. 무리없이 감정을 따라가게 하는 완성도가 돋보이는 작품. 송강호의 연기가 특히 결정적 재료로 작용한다.']"
6,국제시장,9.02,5.81,"['영화내내 가족에게 잘해야겠다 생각이 들었다.우리 아버지는 날위해 모든것을바치신사람이다. 효도해야겠다.', '이분들이 있었기에 지금의 내가있고 대한민국이 있는거지. 존경스럽다', '광부, 간호원 여러분! 나라가 부족하고 내가 부족해 여러분이 여기 있습니다 가족과 고향 생각에 괴로움이 많은 줄 알지만 우리가 무엇 때문에 이 먼 이국에 왔는가를 생각해봅시다 비록 우리 생전엔 이룩하지 못하더라도 후...', '추운날 한파를 뚫고 시사회로 보고왔으나 돈을 주어도 아깝지 않은 소중한 시간을 선물 받았다.처음은 전쟁의 아픔 , 중간은 부모님의 자식들을 위한 희생적인 삶을 생각하게 되었고 마지막은 나 자신에 대해 돌아보게 되었다...', '20대초반 젊은이로 우리가 겪지못했던 우리한아버지들의삶을 보여주는 영화..그들이 있기에 지금 우리가 편안히 살수있습니다감동적입니다', '아 눈물범벅. 고생하신 아버지 생각나네요 ㅠㅠ', '내일을 조국과 민족을 위하여.', '조조로 보고 왔습니다. 시작하고 계속 눈물 닦다가 웃다가 했습니다. 근래에 본 한국영화 중 최고였습니다', '시사회때 봤는데 단연코 수작임. 2014년 대표영화로 손꼽을만함.근데 방금개봉했는데 오유강간충들이 좌표찍고1점테러하자하는중 ㅋㅋㅋ 명색이 평론가라고 5~6점주는거보소ㅋㅋㅋ평론가들 전부 한겨레 씨네21이라그런가 ㅋㅋㅋ...', '황정민이캐릭터잘살렷고웃기면서 재밋엇어요']","['이화정<씨네21> 기자\n아는 감동이지만, 좀 더 세공이 필요했다.\n별점 - 총 10점 중\n6.5\n스토리\n6\n비주얼\n7\n연출\n6\n연기\n7\n아는 역사, 예상 가능 지점의 눈물인데, 그 기술이 미비. 이미 알아서 인지하는 것과 영화적 구축을 통해 관객이 호응하는 것과는 차이가 있다. 보편적 정서를 끌어낼 세공이 부족.', '이은선<매거진 M> 기자\n아버지 세대에 주는 위로 혹은 면죄부\n별점 - 총 10점 중\n6.5\n스토리\n6\n비주얼\n7\n연출\n6\n연기\n7\n집단 정서를 건드리는 신파 코드는 공감을 부르기보단 호소에 가까운 방식이다. 아버지 세대에 건네는 눈물 어린 위로, 혹은 낙천적인 향수를 통해 그들 세대에 주는 어떤 면죄부.', '이지혜<맥스무비> 기자\n어딘가 익숙한 넋두리\n별점 - 총 10점 중\n6.5\n스토리\n5\n비주얼\n7\n연출\n6\n연기\n8\n이만큼 살게 된 게 누구 덕분인 줄 아냐는 언젠가 들어본 넋두리가 눈물을 타고 흐른다. 기성세대에게는 절절한 헌사겠지만 젊은 세대에게는 영 불편한 자리가 될 수도.']"
7,트랜스포머: 사라진 시대,6.58,4.67,"['옵티머스 프라임과 나의 의리로봤다 증말', '트랜스포머 : 사라진 내돈', '이런 영화는 스토리가 안중요하냐? ㅡㅡ 드래곤볼에서 스토리빼고 에네르기파만 뿅뿅쏴대는 소리하고 자빠졌네.', '원래 마이클베이 영화는 스토리로 보는건 아니지만 지루한건 문제인듯 합니다. (CG낭비 쩔어) 그리고 트폼에 나왔다고 자랑쩔던 한경인지 뭔지... 저렇게 나오고 레드카펫에 나오고 싶었을까요? 정말 우리 병헌이형님의 위...', '세시간 분량인데 쓸데없는 장면 겁나 많음.. 스토리는 개똥이지만 애초에 스토리를 기대할 만한 영화는 아니고 cg는 훌륭함...', '꼭 보세요. 저만 당할 수 없어요.', '화려해 .끝. 기대했던 왕의귀환은 아니엇음', '처음:뚜뚜뚱뚜뚱중간:나는옵티머스프라임. 뚜뚜뚱뚱둥둥결말:뚜뚜뚜뀨융뚜. 쥬리기공원 뚜뚜뚜뀨뚱뚱두. 끝', '액션신은 확실히 괜찮은데 스토리전개가 전작에비해 너무 뻔하고 뒤로갈수록 지루해짐..차라리 앳지오브투모로우가 스토리상 훨신 난듯..', '트폼 진짜 사랑했던사람으로써 실망감을 금치못하겠네요 중국일본 서포받아 제작한티 팍팍내고 사무라이 오토봇은 어처구니가없고 로봇얼굴이 사람얼굴같음..너무자연스러워서 더 부자연스러운느낌!!마지막에 프라임 아이언맨처럼 비...']","['김형석영화 저널리스트\n러닝타임과의 싸움\n별점 - 총 10점 중\n6.5\n스토리\n6\n비주얼\n9\n연출\n5\n연기\n6\n로봇 액션은 언제나 기본적 재미를 주며, 그 스케일과 파괴력도 배가 되었다. 공룡 로봇들의 스펙터클도 볼 만하다. 하지만 2시간 44분의 러닝타임을 견디게 하기엔 조금 부족하다.', '이지혜<맥스무비> 기자\n[트랜스포머], 마이클 베이랑 헤어져\n별점 - 총 10점 중\n6.5\n스토리\n5\n비주얼\n9\n연출\n6\n연기\n6\n이 시리즈에게 이야기의 개연성이나 플롯의 참신함을 따지는 건 이제 무의미한 일이 되어 버렸다. 신 나게 때려 부수면 충분하다고 스스로를 축소한 시리즈의 물량공세가 어마어마하다.']"
8,군도: 민란의 시대,6.94,7.11,"['왜 게이가 되는지 알겠어요', '영화보고 난 뒤 남는생각이라곤... 강동원뿐...! 좋은 배우들이었으나 시나리오가 따라오지 못한 영화...기대에 못미쳐 아쉽다.', '강동원 진짜... 강동원이 먹이고 살린 영화다... 대단하다...', '이것이야말로 배우빨이라고 해야하나 참치형 대두형 아니면 어땟을지', '목이빠지도록 기다렸는데 목이빠져버렸다.', '보고 화나서 평점남기려고 들어왔는데이미 많은사람들이 내가 하고싶은말 다하고있음ㅋㅋ진짜 사람들 눈은 다 똑같구나나중에 페북으로 강동원 짤만 보면 될듯', '배우들 참 좋은데 영화를 뭐라 설명할길이없네....', '하정우 나온 영화 중 최악이네요...강동원을 위한 영화 끝!', ""저는 맹세컨데 알바가 아님을 알려드리는 바, '군도'보고 난 기분은 딱 '역린'보고 난 기분이라고 생각하시면 됩니다."", '좋지도 나쁘지도 않았음하지만 강동원은 악역이어도 멋있었음 ㅋㅋ머리 풀었을때 존잘~남자도 반할 외모 ㅋ']","['이지혜<맥스무비> 기자\n이것이 조선 웨스턴이다\n별점 - 총 10점 중\n7.25\n스토리\n6\n비주얼\n8\n연출\n7\n연기\n8\n웨스턴 장르의 충실한 계승자를 자처한 영화는 흙먼지와 땀 냄새, 피비린내가 진동하지만 그중 가장 강한 것은 웃음이다. 적역을 맡은 배우들의 활약을 유쾌하게 지켜볼 수 있다.', '김현민영화 저널리스트\n윤종빈과 테크닉이 만났을 때\n별점 - 총 10점 중\n8\n스토리\n7\n비주얼\n9\n연출\n8\n연기\n8\n어떤 허점들은 인정한다. 하지만 부인할 수 없이 기술적으로 매끄러운 영화다. 그래서 아름답기까지 한순간들이 발생한다. 종전의 날카로운 주제의식이 여기서 갈고 닦은 테크닉과 만난다면 우린 무시무시한 영화를 보게 될 거다.']"
9,엣지 오브 투모로우,8.95,6.79,"['꼭봐라 천조국은 한국과 영화 스토리텔링 및 CG부분에서 거의 30년은 앞서 있다고 생각된다', '톰크루즈 계속 죽고 죽고 반복 할때 표정 압권ㅋㅋㅋㅋ연기 쩔어요 진지한 장면같은데 관객들 다들 빵터짐ㅋㅋㅋㅋ', '그래. 이거지! 이런 SF영화라면 돈이 아깝지 않다. 결말이 찝찝하지 않아서 굉장히 흡족했다', '탐크루즈가 딱 어울렸다. 진지한연기나 약간 허당끼있는 연기나 다 잘 어울렸다. 연출을 굉장히 잘한거같다. 엑스맨보다 잼있었음', '믿고 보는 으리의 톰형!', '세이브 안되는 게임을 끝판 깰 때까지 계속 처음부터 해야하는 고통이 느껴지는 영화', '여자 첫 등장 씬 반복될 때마다 왜케 섹시하지', '야..이러니 헐리웃헐리웃 하지 진짜 신선하고 탄탄한소재 딱 적당한 러브라인 깔끔한 엔딩 완벽한 CG 근래에 이정도로 완벽한 걸작은 본적이 없다 윈터솔져 보다도 재밌다. 꼭 영화관에서 봐라 중간중간에 깜짝 놀라는거 오...', '마지막에 왜 로즈라고 안했니 ㅠㅠ', '300번 이상 죽는 느낌은 대체 어떨까? 그리고 그걸 견뎌내는 정신은 얼마나 강할까...맨 마지막의 빌 케이지는 그야말로 먼치킨이 아닐까 싶다. 이 정도면 수준급의 영화, 보고 후회하지 않을 영화다!']","['김현민영화 저널리스트\n거의 완벽에 가까운 팝콘 무비\n별점 - 총 10점 중\n8\n스토리\n8\n비주얼\n8\n연출\n8\n연기\n8\n참신한 설정은 일본 만화에 빚졌다. 그러나 어두웠던 원작에 위트를 가미한 시나리오, 온 신경을 자극하는 전쟁신, 비현실 속으로 관객을 끌어들이는 배우들의 공력은 가히 할리우드만의 미학이다.', '송경원<씨네 21> 기자\n믿고 보는 메이드 인 할리우드\n별점 - 총 10점 중\n7.5\n스토리\n7\n비주얼\n8\n연출\n8\n연기\n7\n타임 루프 한 큰술, 로맨스 한 큰술, 해변 전투의 스펙터클 한 큰술, 그 위에 두 주연배우의 화학반응을 쏟아 부어 익숙한 듯 새롭게 뽑아냈다. 다양한 요소의 적절한 활용. 깔끔한 재미']"
