,코드,제목,개봉일자,관객수,매출액,상영횟수,스크린수
0,20186202,신과함께-인과 연,2018-08-01,12261650,102564236359,178690,44120
1,20177478,어벤져스: 인피니티 워,2018-04-25,11180554,99586682969,239189,55547
2,20185485,보헤미안 랩소디,2018-10-31,9221480,79983669345,204522,55969
3,20181181,미션 임파서블: 폴아웃,2018-07-25,6561234,55681448612,100046,27863
4,20150976,신과함께-죄와 벌,2017-12-20,5861652,47274359305,121142,34692
5,20179086,쥬라기 월드: 폴른 킹덤,2018-06-06,5648346,49658720637,144187,31469
6,20180522,앤트맨과 와스프,2018-07-04,5443399,47430554685,148038,29716
7,20176122,안시성,2018-09-19,5426215,46243437326,109706,28870
8,20170561,블랙 팬서,2018-02-14,5368255,45642692657,117445,27212
9,20177538,완벽한 타인,2018-10-31,5276610,44208803674,142677,35894
