,코드,제목,개봉일자,관객수,매출액,상영횟수,스크린수
0,20129370,명량,2014-07-30,17576195,135474044210,186437,39342
1,20136803,겨울왕국,2014-01-16,10264800,82205050200,156492,38554
2,20149120,인터스텔라,2014-11-06,10102890,80648119300,166209,43410
3,20131102,수상한 그녀,2014-01-22,8617226,62461103649,136524,32709
4,20136064,해적: 바다로 간 산적,2014-08-06,8613324,66093465006,132163,32169
5,20134803,변호인,2013-12-18,5658458,41723491500,96030,23024
6,20137048,국제시장,2014-12-17,5325814,40938420596,63481,13519
7,20122021,트랜스포머: 사라진 시대,2014-06-25,5291192,43959452345,107825,26245
8,20123501,군도: 민란의 시대,2014-07-23,4762250,36899846099,66850,15056
9,20148807,엣지 오브 투모로우,2014-06-04,4684113,38599585601,94078,20359
