,코드,제목,개봉일자,관객수,매출액,상영횟수,스크린수
0,20182530,극한직업,2019-01-23,16236130,139410421566,291608,60881
1,20184889,어벤져스: 엔드게임,2019-04-24,13897147,121819533790,240971,61197
2,20197803,겨울왕국 2,2019-11-21,13367899,111585165720,282553,59994
3,20183867,알라딘,2019-05-23,12505404,106532065369,264860,74347
4,20183782,기생충,2019-05-30,10055634,85642313435,191649,47629
5,20184621,엑시트,2019-07-31,9393828,78992804152,201139,46029
6,20196309,스파이더맨: 파 프롬 홈,2019-07-02,8006004,68880615720,179829,39990
7,20192206,백두산,2019-12-19,6290255,52904060770,99914,21245
8,20181877,캡틴 마블,2019-03-06,5757032,51110013133,183560,40594
9,20199950,조커,2019-10-02,5229027,45215057210,146502,34840
