,코드,제목,개봉일자,관객수,매출액,상영횟수,스크린수
0,20124034,도둑들,2012-07-25,25924810,187033271000,308252,68416
1,20124079,"광해, 왕이 된 남자",2012-09-13,24439259,176497385538,400361,88323
2,20124721,어벤져스,2012-04-26,14108438,118787460130,217916,50664
3,20124054,늑대소년,2012-10-31,13153882,92140865500,210064,43455
4,20112703,다크 나이트 라이즈,2012-07-19,12743094,94826965000,161444,41706
5,20124067,바람과 함께 사라지다,2012-08-08,9719766,68552540322,152476,32548
6,20126077,어메이징 스파이더맨,2012-06-28,9685866,82165411470,185132,39208
7,20113557,범죄와의 전쟁: 나쁜놈들 전성시대,2012-02-02,9299456,72058849000,178000,42558
8,20113554,내 아내의 모든 것,2012-05-17,9162726,68193658000,182502,42746
9,20124062,연가시,2012-07-05,8983078,64011362328,142422,29244
