,코드,제목,개봉일자,관객수,매출액,상영횟수,스크린수
0,20180939,남산의 부장들,2020-01-22,4739175,41129262110,138381,29791
1,20197922,다만 악에서 구하소서,2020-08-05,4352756,38566974800,193492,45937
2,20193450,반도,2020-07-15,3809819,33054728870,198760,47545
3,20192101,히트맨,2020-01-22,2396652,20528241900,87505,21387
4,20201122,테넷,2020-08-26,1984480,18323473010,164004,58984
5,20192206,백두산,2019-12-19,1949993,16826162150,73014,19178
6,20193069,#살아있다,2020-06-24,1900179,15947198820,136827,34890
7,20196271,강철비2: 정상회담,2020-07-29,1790010,14649263610,106526,29750
8,20199816,담보,2020-09-29,1710353,14679804330,109202,34597
9,20199581,닥터 두리틀,2020-01-08,1596772,13381212390,67323,17554
