,코드,제목,개봉일자,관객수,매출액,상영횟수,스크린수
0,20162869,택시운전사,2017-08-02,12143304,95545284949,182372,44942
1,20150976,신과함께-죄와 벌,2017-12-20,8536277,68327061432,91291,19928
2,20151228,공조,2017-01-18,7790214,63558111526,142172,33427
3,20167303,스파이더맨: 홈 커밍,2017-07-05,7246799,59030018920,164188,35330
4,20172742,범죄도시,2017-10-03,6858989,56143179749,148636,38952
5,20161481,군함도,2017-07-26,6545918,50168516368,107768,25033
6,20162442,청년경찰,2017-08-09,5610249,44037221416,116219,27545
7,20151229,더 킹,2017-01-18,5290359,43262261835,107257,25226
8,20164721,미녀와 야수,2017-03-16,5118094,41965874779,139914,36067
9,20175222,킹스맨: 골든 서클,2017-09-27,4930598,40864733736,95451,23159
